Wavelength,Absorbance,Types
232,1.498,Transformer Oil
204.545,2.089,Transformer Oil
238.5,0.668,Transformer Oil
270.588,0.539,Peppermint Oil
261.021,0.037,Flaxseed Oil
268.021,0.045,Flaxseed Oil
518.982,0.818,Olive Oil
368.572,0.126,Dershani Oil
231.302,0.074,Flaxseed Oil
212.061,2.748,Transformer Oil
301.182,0.027,Sesame Oil
464.208,0.069,Dershani Oil
254.058,1.346,Olive Oil
299.518,0.03,Sesame Oil
331.224,3.451,Sunflower Oil
370.81,0.136,Cannabis Oil
315.789,0.114,Refined Oil
243.351,0.048,Flaxseed Oil
238.158,0.211,Crude Oil
312.197,0.016,Sesame Oil
393.035,0.115,Orange Oil
259.477,1.223,Peppermint Oil
270.143,0.079,Sesame Oil
243.322,0.091,Sesame Oil
206.326,0.789,Sunflower Oil
377.843,0.101,Coconut Oil
800.413,0.438,Olive Oil
330.614,0.009,Sesame Oil
752.412,9.28E-04,Refined Oil
297.545,0.087,Paraffin Oil
374.303,0.005,Sesame Oil
361.348,2.106,Olive Oil
211.394,2.693,Transformer Oil
423.026,0.478,Refined Oil
423.275,0.081,Dershani Oil
379.811,0.005,Sesame Oil
721.272,9.28E-04,Refined Oil
258.985,0.067,Sesame Oil
449.696,0.065,Sunflower Oil
469.079,0.596,Crude Oil
271.52,0.078,Sesame Oil
290,0.45,Cannabis Oil
272.553,0.077,Sesame Oil
306.899,0.993,Orange Oil
303.305,0.024,Sesame Oil
800.413,0.433,Sunflower Oil
206.061,2.257,Transformer Oil
500.658,0.361,Crude Oil
283.091,0.307,Transformer Oil
363.436,0.137,Cannabis Oil
319.532,3.411,Canola Oil
328.262,0.01,Sesame Oil
357.634,2.654,Sunflower Oil
286.614,0.25,Transformer Oil
325.852,0.01,Sesame Oil
231.939,1.548,Transformer Oil
331.276,0.832,Orange Oil
380.47,9.96E-04,Flaxseed Oil
267.045,0.507,Transformer Oil
263.087,0.068,Sesame Oil
489.474,0.582,Refined Oil
223.155,0.119,Flaxseed Oil
368.25,0.081,Paraffin Oil
340.826,0.002,Flaxseed Oil
482.669,2.359,Olive Oil
272.61,0.048,Flaxseed Oil
562.5,0.008,Refined Oil
240.052,0.101,Sesame Oil
229.466,0.08,Flaxseed Oil
385.577,0.005,Sesame Oil
296.453,0.364,Raspberry Oil
242.636,0.433,Transformer Oil
289.019,0.053,Sesame Oil
353.735,0.006,Sesame Oil
211.273,2.656,Transformer Oil
270.332,0.228,Sunflower Oil
237.986,0.106,Sesame Oil
226.942,0.089,Flaxseed Oil
372.549,0.32,Peppermint Oil
200.545,1.674,Transformer Oil
240.273,0.526,Transformer Oil
281.618,0.074,Sesame Oil
308.985,0.019,Flaxseed Oil
220.22,2.137,Olive Oil
230.97,1.707,Transformer Oil
305.939,0.076,Transformer Oil
307.263,0.019,Sesame Oil
349.794,1.937,Canola Oil
235.526,0.271,Refined Oil
344.795,0.508,Orange Oil
469.079,0.682,Refined Oil
415.132,0.394,Refined Oil
212.5,0.233,Refined Oil
229.03,2.019,Transformer Oil
201.273,1.75,Transformer Oil
477.124,0.28,Peppermint Oil
237.273,0.754,Transformer Oil
549.794,0.442,Canola Oil
299.848,0.108,Transformer Oil
280.818,0.364,Transformer Oil
339.89,2.158,Olive Oil
233.409,1.3,Transformer Oil
604.402,0.433,Sunflower Oil
274.227,0.461,Transformer Oil
370.373,0.001,Flaxseed Oil
359.889,0.183,Dershani Oil
233.333,1.7,Peppermint Oil
376.316,0.149,Crude Oil
292.435,3.367,Sunflower Oil
280.007,0.516,Dershani Oil
256.403,0.064,Sesame Oil
210.667,2.62,Transformer Oil
226.848,2.381,Transformer Oil
612.242,0.649,Olive Oil
248.858,0.039,Flaxseed Oil
222.788,2.781,Transformer Oil
667.125,0.438,Sunflower Oil
217.647,1.055,Peppermint Oil
279.455,0.393,Transformer Oil
408.769,0.004,Sesame Oil
394.572,0.181,Carrot seed Oil
290.08,0.133,Coconut Oil
399.744,0.123,Raspberry Oil
354.218,0.104,Coconut Oil
207.07,0.661,Sunflower Oil
321.437,0.794,Dershani Oil
292.157,0.384,Peppermint Oil
302.035,0.121,Coconut Oil
392.117,0.005,Sesame Oil
282.118,2.018,Canola Oil
235.352,0.929,Dershani Oil
391.472,1.098,Sunflower Oil
538.514,0.442,Canola Oil
499.673,0.286,Peppermint Oil
200,1.103,Sunflower Oil
538.816,0.015,Crude Oil
305.972,0.021,Sesame Oil
522.558,0.442,Canola Oil
534.868,0.033,Refined Oil
232.679,0.071,Flaxseed Oil
396.159,0.122,Raspberry Oil
217.03,2.856,Transformer Oil
241.515,0.052,Flaxseed Oil
405.041,0.079,Sunflower Oil
249.091,0.392,Transformer Oil
389.966,7.79E-04,Flaxseed Oil
229.811,0.118,Sesame Oil
207.758,2.383,Transformer Oil
317.59,0.01,Flaxseed Oil
271.773,0.476,Transformer Oil
254.596,0.062,Sesame Oil
336.184,0.163,Refined Oil
410.878,0.004,Sesame Oil
266.586,0.073,Sesame Oil
361.947,0.103,Coconut Oil
537.139,0.691,Olive Oil
345.749,0.345,Dershani Oil
449.02,0.282,Peppermint Oil
711.299,0.055,Dershani Oil
264.578,0.041,Flaxseed Oil
229.007,0.082,Flaxseed Oil
285.42,2.623,Olive Oil
219.879,2.856,Transformer Oil
568.501,0.522,Olive Oil
612.655,0.438,Canola Oil
343.268,0.081,Sunflower Oil
748.884,0.051,Sunflower Oil
338.308,0.083,Paraffin Oil
308.812,0.018,Sesame Oil
580.88,0.438,Sunflower Oil
396.313,0.136,Cannabis Oil
595.323,0.443,Canola Oil
482.669,0.48,Sunflower Oil
224.606,2.694,Transformer Oil
278.817,1.462,Olive Oil
399.59,0.079,Paraffin Oil
599.342,0.005,Refined Oil
238.933,0.104,Sesame Oil
538.377,0.443,Sunflower Oil
309.371,0.118,Coconut Oil
389.86,0.081,Paraffin Oil
524.342,0.077,Refined Oil
345.615,0.107,Coconut Oil
580.055,0.443,Canola Oil
554.031,0.292,Peppermint Oil
211.765,0.968,Peppermint Oil
404.423,0.004,Sesame Oil
543.099,0.063,Dershani Oil
393.65,0.099,Coconut Oil
509.98,0.057,Sunflower Oil
316.864,0.017,Transformer Oil
421.32,0.586,Canola Oil
358.322,1.55,Canola Oil
372.294,0.081,Sunflower Oil
575,0,Crude Oil
240.562,0.671,Dershani Oil
282,0.333,Transformer Oil
223.729,0.109,Flaxseed Oil
244.429,0.952,Canola Oil
230.263,0.287,Crude Oil
296.145,0.854,Orange Oil
750,0.05,Dershani Oil
419.079,0.437,Refined Oil
303,0.088,Transformer Oil
369.069,0.211,Orange Oil
421.596,3.045,Olive Oil
356.747,0.006,Sesame Oil
407.565,0.653,Canola Oil
339.674,0.625,Orange Oil
267.16,0.075,Sesame Oil
702.201,0.433,Canola Oil
398.259,0.111,Orange Oil
335.329,0.561,Dershani Oil
245.559,0.084,Sesame Oil
208.224,0.252,Refined Oil
375.624,0.081,Paraffin Oil
327.281,0.908,Orange Oil
679.092,1.166,Olive Oil
209.03,2.544,Transformer Oil
328.101,0.214,Raspberry Oil
262.513,0.038,Flaxseed Oil
492.572,2.106,Olive Oil
276.5,0.426,Transformer Oil
230.155,0.078,Flaxseed Oil
257.608,0.065,Sesame Oil
294.396,0.531,Dershani Oil
503.289,0.385,Refined Oil
264.374,1.23,Sunflower Oil
433.987,0.28,Peppermint Oil
335.294,0.368,Peppermint Oil
517.763,0.107,Crude Oil
456.259,2.707,Olive Oil
391.141,0.135,Cannabis Oil
237.585,0.76,Dershani Oil
242.461,0.094,Sesame Oil
783.906,0.433,Canola Oil
405.921,0.322,Refined Oil
216.919,2.496,Olive Oil
440.132,0.6,Refined Oil
270.273,0.488,Transformer Oil
221.053,0.329,Refined Oil
686.52,0.422,Canola Oil
306.8,0.1,Sunflower Oil
400,0.279,Refined Oil
210.526,0.199,Refined Oil
307.237,0.133,Crude Oil
511.184,0.24,Refined Oil
372.077,1.715,Sunflower Oil
316.629,0.279,Raspberry Oil
225.172,1.715,Olive Oil
338.876,0.008,Sesame Oil
336.842,0.141,Crude Oil
684.044,0.734,Olive Oil
288.101,0.056,Sesame Oil
396.053,0.242,Refined Oil
363.549,1.363,Canola Oil
506.052,0.449,Canola Oil
283.769,2.208,Canola Oil
356.948,9.96E-04,Flaxseed Oil
239.869,1.827,Peppermint Oil
524.837,0.295,Peppermint Oil
402.014,0.004,Sesame Oil
710.867,0.433,Sunflower Oil
493.421,0.549,Refined Oil
203.03,1.959,Transformer Oil
347.539,0.007,Sesame Oil
291.588,0.267,Carrot seed Oil
315.182,0.017,Transformer Oil
252.645,0.033,Flaxseed Oil
390.132,0.209,Refined Oil
268.308,0.077,Sesame Oil
252.616,0.064,Sesame Oil
289.546,3.143,Canola Oil
213.515,2.704,Transformer Oil
400.034,6.49E-04,Flaxseed Oil
281.293,1.768,Olive Oil
440.578,2.443,Olive Oil
285.42,2.426,Canola Oil
411.184,0.357,Refined Oil
202.848,1.917,Transformer Oil
406.145,7.79E-04,Flaxseed Oil
314.205,0.015,Sesame Oil
224.991,0.099,Flaxseed Oil
223.444,0.43,Sunflower Oil
287.895,3.024,Olive Oil
261.438,1.077,Peppermint Oil
459.211,0.715,Refined Oil
260.792,0.068,Sesame Oil
252,0.429,Transformer Oil
301.881,0.349,Raspberry Oil
263.455,0.483,Transformer Oil
275.791,1.099,Canola Oil
235.364,0.986,Transformer Oil
293.948,3.372,Canola Oil
232.106,0.072,Flaxseed Oil
273.182,0.472,Transformer Oil
241.455,0.475,Transformer Oil
244.441,0.088,Sesame Oil
377.058,0.118,Raspberry Oil
217.744,2.359,Olive Oil
599.346,0.292,Peppermint Oil
251.136,0.393,Transformer Oil
339.299,0.481,Dershani Oil
310.689,0.282,Raspberry Oil
353.757,0.126,Raspberry Oil
290,0.092,Paraffin Oil
366.447,0.156,Refined Oil
293.431,0.228,Carrot seed Oil
577.56,0.286,Peppermint Oil
296.19,0.036,Sesame Oil
301.928,0.025,Sesame Oil
303.989,3.53,Sunflower Oil
231.515,1.589,Transformer Oil
290,0.797,Orange Oil
206.848,2.343,Transformer Oil
564.924,0.442,Canola Oil
718.294,0.433,Canola Oil
280.743,1.659,Canola Oil
320.521,1.008,Orange Oil
376.034,0.17,Orange Oil
551.169,0.522,Olive Oil
266.013,0.072,Sesame Oil
339.091,0,Transformer Oil
293.953,0.041,Sesame Oil
286.795,2.63,Canola Oil
238.377,1.346,Olive Oil
353.095,1.736,Canola Oil
290,0.428,Raspberry Oil
230.929,0.116,Sesame Oil
232.325,0.983,Canola Oil
305.37,0.025,Flaxseed Oil
343.02,0.398,Dershani Oil
230,1.922,Transformer Oil
204.121,2.05,Transformer Oil
253.232,1.108,Sunflower Oil
751.719,0.433,Canola Oil
395.99,7.14E-04,Flaxseed Oil
232.409,1.45,Transformer Oil
289.248,0.044,Flaxseed Oil
262.045,0.485,Transformer Oil
231.152,1.652,Transformer Oil
241.447,0.178,Crude Oil
343.566,0.14,Raspberry Oil
264.512,1.194,Canola Oil
247.727,0.381,Transformer Oil
200,0.19,Crude Oil
334.663,3.136,Canola Oil
258.824,1.323,Peppermint Oil
336.864,2.943,Canola Oil
627.098,0.443,Sunflower Oil
228.606,0.12,Sesame Oil
228.105,1.505,Peppermint Oil
225.939,2.531,Transformer Oil
228.204,0.084,Flaxseed Oil
236.864,0.81,Transformer Oil
278.692,0.074,Sesame Oil
200.138,0.807,Canola Oil
221.053,0.294,Refined Oil
214.727,2.787,Transformer Oil
258.424,0.263,Sunflower Oil
239.334,0.057,Flaxseed Oil
243.924,0.047,Flaxseed Oil
226.368,0.091,Flaxseed Oil
370.332,0.102,Coconut Oil
328.135,0.715,Dershani Oil
225.658,0.364,Refined Oil
459.868,0.631,Crude Oil
224.061,2.744,Transformer Oil
246.678,0.042,Flaxseed Oil
251.725,0.529,Dershani Oil
228.727,2.106,Transformer Oil
444.079,0.55,Crude Oil
307.439,0.065,Transformer Oil
568.501,0.438,Sunflower Oil
203.515,2.004,Transformer Oil
288.182,0.226,Transformer Oil
288.955,0.214,Transformer Oil
224.342,0.289,Crude Oil
395.596,0.081,Paraffin Oil
465.686,0.275,Peppermint Oil
506.579,0.337,Refined Oil
279.725,0.05,Flaxseed Oil
319.497,0.081,Paraffin Oil
363.845,0.118,Raspberry Oil
292.834,0.372,Cannabis Oil
236.236,0.064,Flaxseed Oil
446.053,0.642,Refined Oil
377.024,0.138,Carrot seed Oil
515.132,0.191,Refined Oil
413.029,6.49E-04,Flaxseed Oil
292.806,0.044,Sesame Oil
358.52,0.082,Paraffin Oil
293.379,0.042,Sesame Oil
205.576,2.206,Transformer Oil
382.588,0.081,Paraffin Oil
285.347,0.065,Sesame Oil
281.706,1.852,Sunflower Oil
327.057,0.004,Flaxseed Oil
206.182,2.294,Transformer Oil
274.446,0.074,Sesame Oil
227.516,0.087,Flaxseed Oil
329.364,0,Transformer Oil
386.842,0.166,Crude Oil
265.789,0.168,Crude Oil
389.019,0.005,Sesame Oil
366.472,0.001,Flaxseed Oil
233.483,0.069,Flaxseed Oil
506.631,0.063,Dershani Oil
325.13,0.111,Coconut Oil
227.455,2.276,Transformer Oil
313.48,3.003,Olive Oil
284.606,0.28,Transformer Oil
300.894,0.109,Transformer Oil
305.258,0.076,Transformer Oil
783.906,0.438,Sunflower Oil
572.497,0.064,Dershani Oil
456.671,0.528,Sunflower Oil
365.475,2.063,Sunflower Oil
251.153,0.035,Flaxseed Oil
501.316,0.434,Refined Oil
204.848,2.126,Transformer Oil
278.518,0.156,Sunflower Oil
498.684,0.471,Refined Oil
708.553,-0.003,Crude Oil
487.908,0.27,Peppermint Oil
294.699,0.039,Sesame Oil
800,0.433,Canola Oil
227.939,2.187,Transformer Oil
265.364,0.506,Transformer Oil
295.33,0.038,Sesame Oil
475.658,0.559,Crude Oil
379.926,0.133,Cannabis Oil
268.955,0.507,Transformer Oil
268.881,0.078,Sesame Oil
423.684,0.424,Crude Oil
473.684,0.651,Refined Oil
413.343,0.834,Sunflower Oil
285.42,2.485,Sunflower Oil
234.045,1.199,Transformer Oil
324.131,0.006,Flaxseed Oil
264.349,0.068,Sesame Oil
694.773,0.438,Sunflower Oil
568.031,0.057,Sunflower Oil
237.255,1.759,Peppermint Oil
220.915,1.25,Peppermint Oil
238.955,0.622,Transformer Oil
594.498,0.443,Sunflower Oil
221.091,2.815,Transformer Oil
670.737,0.059,Dershani Oil
216.118,0.243,Refined Oil
337.728,0.15,Cannabis Oil
309.354,3.319,Olive Oil
344.292,2.331,Canola Oil
